Station Name,Month,Period,No. of Years,Mean Temperature in degree C - Maximum,Mean Temperature  in degree C - Minimum,Mean Rainfall in mm,Latitude,Longitude
Bangalore,February,1901-2000,100,30.1,16.6,7.9,12.9667,77.5667
Bangalore,March,1901-2000,100,32.8,19,10,12.9667,77.5667
Bangalore,April,1901-2000,100,33.9,21.3,43.9,12.9667,77.5667
Bangalore,May,1901-2000,100,33.1,21.1,111.9,12.9667,77.5667
Bangalore,June,1901-2000,100,29.4,19.8,79.7,12.9667,77.5667
Bangalore,July,1901-2000,100,27.7,19.3,109.7,12.9667,77.5667
Bangalore,August,1901-2000,100,27.6,19.2,138.8,12.9667,77.5667
Bangalore,September,1901-2000,100,28.1,19.1,185.9,12.9667,77.5667
Bangalore,October,1901-2000,100,27.9,18.9,161.7,12.9667,77.5667
Bangalore,November,1901-2000,100,26.8,17.2,59.2,12.9667,77.5667
Bangalore,December,1901-2000,100,26.2,15.4,17.4,12.9667,77.5667
Bareilly,January,1901-2000,97,21.6,8.3,22.9,28.3518,79.4096
Bareilly,February,1901-2000,97,24,10.4,25.3,28.3518,79.4096
Bareilly,March,1901-2000,97,30.6,15.2,14.5,28.3518,79.4096
Bareilly,April,1901-2000,97,36.8,20.9,8.9,28.3518,79.4096
Bareilly,May,1901-2000,97,39.9,25.1,19.3,28.3518,79.4096
Bareilly,June,1901-2000,97,38.6,27,106.4,28.3518,79.4096
Bareilly,July,1901-2000,97,33.9,26.1,307,28.3518,79.4096
Bareilly,August,1901-2000,97,32.6,25.8,290.9,28.3518,79.4096
Bareilly,September,1901-2000,97,33,24.4,186.1,28.3518,79.4096
Bareilly,October,1901-2000,97,32.3,19.3,44.9,28.3518,79.4096
Bareilly,November,1901-2000,97,28,12.7,3.9,28.3518,79.4096
Bareilly,December,1901-2000,97,23.2,8.8,9.7,28.3518,79.4096
Baroda (A),January,1952-2000,48,29.5,12.5,2.2,22.3112,73.1820
Baroda (A),February,1952-2000,48,31.9,14.2,0.7,22.3112,73.1820
Baroda (A),March,1952-2000,48,36.2,18.4,0.7,22.3112,73.1820
Baroda (A),April,1952-2000,48,39.2,23,1.4,22.3112,73.1820
Baroda (A),May,1952-2000,48,40.1,26.6,6.1,22.3112,73.1820
Baroda (A),June,1952-2000,48,36.8,27,118.9,22.3112,73.1820
Baroda (A),July,1952-2000,48,32.5,25.8,274.6,22.3112,73.1820
Baroda (A),August,1952-2000,48,31.4,25,242.4,22.3112,73.1820
Baroda (A),September,1952-2000,48,33,24.5,124.2,22.3112,73.1820
Baroda (A),October,1952-2000,48,35.5,21.4,26.4,22.3112,73.1820
Baroda (A),November,1952-2000,48,33.4,16.9,13.3,22.3112,73.1820
Baroda (A),December,1952-2000,48,30.7,13.7,3.7,22.3112,73.1820
Belgaum Samra,January,1952-2000,49,29.2,14.6,1.1,15.8528,74.5111
Belgaum Samra,February,1952-2000,49,31.7,15.7,2.1,15.8528,74.5111
Belgaum Samra,March,1952-2000,49,34.6,18.5,10.6,15.8528,74.5111
Belgaum Samra,April,1952-2000,49,35.8,20.4,45.1,15.8528,74.5111
Belgaum Samra,May,1952-2000,49,34.3,21,89.8,15.8528,74.5111
Belgaum Samra,June,1952-2000,49,28.7,20.9,166.1,15.8528,74.5111
Belgaum Samra,July,1952-2000,49,25.8,20.4,268.9,15.8528,74.5111
Belgaum Samra,August,1952-2000,49,25.7,20.1,157.4,15.8528,74.5111
Belgaum Samra,September,1952-2000,49,27.6,19.5,109.3,15.8528,74.5111
Belgaum Samra,October,1952-2000,49,29.2,19.1,124.9,15.8528,74.5111
Belgaum Samra,November,1952-2000,49,28.6,16.9,34.2,15.8528,74.5111
Belgaum Samra,December,1952-2000,49,28.2,15.2,5.6,15.8528,74.5111
Bhagalpur,January,1901-1999,56,24.2,11.6,18.2,25.2413,86.9901
Bhagalpur,February,1901-1999,56,27.2,13.9,11.4,25.2413,86.9901
Bhagalpur,March,1901-1999,56,33.1,18.9,10.3,25.2413,86.9901
Bhagalpur,April,1901-1999,56,37.5,23.3,21.5,25.2413,86.9901
Bhagalpur,May,1901-1999,56,37.6,25,63,25.2413,86.9901
Bhagalpur,June,1901-1999,56,35.5,26.3,187.4,25.2413,86.9901
Bhagalpur,July,1901-1999,56,33,26.3,264.5,25.2413,86.9901
Bhagalpur,August,1901-1999,56,32.6,26.3,240.7,25.2413,86.9901
Bhagalpur,September,1901-1999,56,32.8,25.8,211.6,25.2413,86.9901
Bhagalpur,October,1901-1999,56,32.2,23,83.2,25.2413,86.9901
Bhagalpur,November,1901-1999,56,29.4,17.1,5.4,25.2413,86.9901
Bhagalpur,December,1901-1999,56,25.5,12.4,3.3,25.2413,86.9901
Bhatinda,January,1959-1984,24,20.5,4.7,11.4,30.2300,74.9519
Bhatinda,February,1959-1984,24,22.8,7.8,13.2,30.2300,74.9519
Bhatinda,March,1959-1984,24,28.3,12.5,23.5,30.2300,74.9519
Bhatinda,April,1959-1984,24,35.7,18.6,8.8,30.2300,74.9519
Bhatinda,May,1959-1984,24,40,22.7,14.8,30.2300,74.9519
Bhatinda,June,1959-1984,24,41.4,26.8,34.1,30.2300,74.9519
Bhatinda,July,1959-1984,24,36.9,26.3,133.1,30.2300,74.9519
Bhatinda,August,1959-1984,24,35.4,25.3,120.2,30.2300,74.9519
Bhatinda,September,1959-1984,24,35.4,22.6,47,30.2300,74.9519
Bhatinda,October,1959-1984,24,34,16.3,7.8,30.2300,74.9519
Bhatinda,November,1959-1984,24,28.2,9.6,7.7,30.2300,74.9519
Bhatinda,December,1959-1984,24,22.7,5.2,6.8,30.2300,74.9519
Bhopal (Bairagarh),January,1949-2000,52,25.3,10.5,13.2,23.1395,77.4086
Bhopal (Bairagarh),February,1949-2000,52,28.3,12.4,8.7,23.1395,77.4086
Bhopal (Bairagarh),March,1949-2000,52,33.5,17.1,8.4,23.1395,77.4086
Bhopal (Bairagarh),April,1949-2000,52,38.3,21.8,4.3,23.1395,77.4086
Bhopal (Bairagarh),May,1949-2000,52,40.7,25.7,11.7,23.1395,77.4086
Bhopal (Bairagarh),June,1949-2000,52,37.2,25.4,120.2,23.1395,77.4086
Bhopal (Bairagarh),July,1949-2000,52,30.7,23.2,354.1,23.1395,77.4086
Bhopal (Bairagarh),August,1949-2000,52,28.9,22.5,363.3,23.1395,77.4086
Bhopal (Bairagarh),September,1949-2000,52,30.5,21.6,185.1,23.1395,77.4086
Bhopal (Bairagarh),October,1949-2000,52,32,18.5,31,23.1395,77.4086
Bhopal (Bairagarh),November,1949-2000,52,28.9,14.2,12.1,23.1395,77.4086
Bhopal (Bairagarh),December,1949-2000,52,26,10.9,11,23.1395,77.4086
Bhubaneshwar (A),January,1952-2000,49,28.5,15.5,13.1,20.2700,85.8400
Bhubaneshwar (A),February,1952-2000,49,31.6,18.6,25.5,20.2700,85.8400
Bhubaneshwar (A),March,1952-2000,49,35.1,22.3,25.2,20.2700,85.8400
Bhubaneshwar (A),April,1952-2000,49,37.2,25.1,30.8,20.2700,85.8400
Bhubaneshwar (A),May,1952-2000,49,37.5,26.5,68.2,20.2700,85.8400
Bhubaneshwar (A),June,1952-2000,49,35.2,26.1,204.9,20.2700,85.8400
Bhubaneshwar (A),July,1952-2000,49,32,25.2,326.2,20.2700,85.8400
Bhubaneshwar (A),August,1952-2000,49,31.6,25.1,366.8,20.2700,85.8400
Bhubaneshwar (A),September,1952-2000,49,31.9,24.8,256.3,20.2700,85.8400
Bhubaneshwar (A),October,1952-2000,49,31.7,23,190.7,20.2700,85.8400
Bhubaneshwar (A),November,1952-2000,49,30.2,18.8,41.7,20.2700,85.8400
Bhubaneshwar (A),December,1952-2000,49,28.3,15.2,4.9,20.2700,85.8400
Bhuj (Rudramata),January,1953-2000,47,27.1,8.8,2,23.2500,69.6700
